rollout/ep_rew_mean,train/n_updates,time/fps,train/policy_loss,train/value_loss,train/explained_variance,train/entropy_loss,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/learning_rate,train/std
97.827657,9,87,338.017822265625,220.77066040039062,0.099898815,-24.050708770751953,20.0,50,0,10,0.0007,0.9959555268287659
116.132175,19,96,282.6441955566406,202.22012329101562,-0.2786684,-24.03339958190918,23.333333333333332,100,1,20,0.0007,0.994809091091156
137.8832214,29,108,314.2185363769531,230.99485778808594,-0.0067665577,-24.02056884765625,27.6,150,1,30,0.0007,0.9936359524726868
138.43441828571432,39,115,128.09530639648438,62.70644760131836,0.33317804,-23.9871826171875,27.428571428571427,200,1,40,0.0007,0.9914689660072327
130.43302055555557,49,119,344.1783752441406,202.24252319335938,0.21546131,-23.92067527770996,25.88888888888889,250,2,50,0.0007,0.9886951446533203
133.62646063636365,59,124,32.661949157714844,31.855712890625,0.01840067,-23.91085433959961,26.636363636363637,300,2,60,0.0007,0.9877094030380249
131.4249743076923,69,125,82.26300048828125,72.49915313720703,0.007707715,-23.892942428588867,26.307692307692307,350,2,70,0.0007,0.9867257475852966
133.8322552,79,127,364.2355041503906,315.4264831542969,-0.07817209,-23.88948631286621,26.6,400,3,80,0.0007,0.9862207770347595
133.5488031875,89,129,397.572998046875,316.7488708496094,0.14936125,-23.875595092773438,26.5625,450,3,90,0.0007,0.985706090927124
135.76769711111112,99,128,304.0013732910156,215.59812927246094,-0.002439618,-23.865943908691406,26.944444444444443,500,3,100,0.0007,0.9850044250488281
137.20987000000002,109,128,378.0543518066406,278.39666748046875,-0.02156043,-23.890972137451172,27.31578947368421,550,4,110,0.0007,0.9867642521858215
140.18086285714287,119,127,320.7460021972656,230.955810546875,-0.0015051365,-23.893110275268555,27.904761904761905,600,4,120,0.0007,0.986626148223877
132.50922829166666,129,126,336.5551452636719,217.76353454589844,0.00024551153,-23.89967918395996,26.458333333333332,650,5,130,0.0007,0.9873125553131104
128.37111570370368,139,123,-70.13751220703125,45.18778610229492,0.0048208237,-23.88990020751953,25.703703703703702,700,5,140,0.0007,0.9865583777427673
132.9375409642857,149,121,327.75,204.00408935546875,0.12017822,-23.892202377319336,26.75,750,6,150,0.0007,0.9868202209472656
130.3514402333333,159,122,309.2590026855469,223.975341796875,0.00032877922,-23.900863647460938,26.266666666666666,800,6,160,0.0007,0.9870340824127197
129.41693228125,169,123,344.4871520996094,215.5081329345703,0.0003926158,-23.908309936523438,26.0625,850,6,170,0.0007,0.9879698157310486
129.4790741764706,179,123,355.53948974609375,224.7428436279297,-0.0006338358,-23.904855728149414,26.058823529411764,900,7,180,0.0007,0.9876807928085327
130.29494272222223,189,124,38.4706916809082,106.3797378540039,0.013385236,-23.907180786132812,26.166666666666668,950,7,190,0.0007,0.9877142310142517
131.86277856756757,199,124,313.189453125,253.85520935058594,0.011179328,-23.912275314331055,26.513513513513512,1000,8,200,0.0007,0.9875149726867676
132.3302031794872,209,125,298.6680603027344,224.79885864257812,-0.0002052784,-23.90059471130371,26.615384615384617,1050,8,210,0.0007,0.986855685710907
129.7007775952381,219,125,260.86004638671875,184.1029510498047,0.007942796,-23.895160675048828,26.095238095238095,1100,8,220,0.0007,0.9865334630012512
129.60243493181818,229,125,369.8671569824219,286.6382751464844,0.00026267767,-23.885665893554688,26.068181818181817,1150,9,230,0.0007,0.9863510131835938
129.75143226086956,239,125,331.9827575683594,270.91485595703125,0.00015234947,-23.889266967773438,26.08695652173913,1200,9,240,0.0007,0.9862926602363586
128.57500477083332,249,126,-16.33218765258789,142.2392120361328,0.004622102,-23.898046493530273,25.875,1250,9,250,0.0007,0.9868897795677185
128.57553586,259,127,-149.24493408203125,89.74873352050781,0.1043728,-23.890625,25.88,1300,10,260,0.0007,0.9866018891334534
128.04181548076923,269,126,-28.45112419128418,150.0062713623047,0.013089895,-23.88934326171875,25.807692307692307,1350,10,270,0.0007,0.9863698482513428
126.92718983333333,279,127,342.8549499511719,231.445068359375,0.009678602,-23.882797241210938,25.59259259259259,1400,11,280,0.0007,0.9862379431724548
125.28226347368418,289,127,152.46438598632812,159.0509033203125,0.23989904,-23.89115333557129,25.280701754385966,1450,11,290,0.0007,0.9866621494293213
124.94341040677965,299,128,322.1171569824219,220.6365966796875,-0.00061011314,-23.884986877441406,25.220338983050848,1500,11,300,0.0007,0.9862899780273438
123.73724596774191,309,128,292.7896423339844,223.1806182861328,-0.007296562,-23.882360458374023,25.0,1550,12,310,0.0007,0.9859791994094849
123.1840601111111,319,129,385.82281494140625,269.6519470214844,-0.0032531023,-23.874481201171875,24.88888888888889,1600,12,320,0.0007,0.9858844876289368
124.54933021538463,329,128,317.73126220703125,222.79405212402344,-0.0020964146,-23.892250061035156,25.16923076923077,1650,12,330,0.0007,0.9867014288902283
124.23129023880598,339,128,346.4942321777344,223.3893585205078,0.04234159,-23.891399383544922,25.119402985074625,1700,13,340,0.0007,0.9868825078010559
123.46033481159424,349,128,347.4201965332031,252.31455993652344,0.0011929274,-23.88397789001465,24.985507246376812,1750,13,350,0.0007,0.9862954616546631
124.86257278873244,359,128,124.14306640625,201.32199096679688,8.255243e-05,-23.875600814819336,25.225352112676056,1800,14,360,0.0007,0.9858361482620239
125.70155763888887,369,128,353.7945251464844,228.3443145751953,0.0029500127,-23.875350952148438,25.430555555555557,1850,14,370,0.0007,0.9860085844993591
125.93543702739724,379,127,297.30743408203125,191.4087371826172,0.0003209114,-23.87453269958496,25.47945205479452,1900,14,380,0.0007,0.9857609868049622
