train/critic_loss,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/n_updates,time/episodes,train/ent_coef,train/learning_rate,time/fps,train/ent_coef_loss
19.325489044189453,264,134.11467019999998,26.4,1,-26.712535858154297,163,10,0.9535915851593018,0.0003,150,-1.3123774528503418
9.719010353088379,530,134.41961629999997,26.5,4,-37.654296875,429,20,0.8780515193939209,0.0003,121,-3.669034481048584
11.119916915893555,776,130.64091026666665,25.866666666666667,6,-47.13475036621094,675,30,0.8146079778671265,0.0003,115,-5.744692802429199
8.211849212646484,1044,132.2066864,26.1,9,-59.01689910888672,943,40,0.7513719201087952,0.0003,110,-7.917705535888672
8.50874137878418,1307,132.21030338,26.14,12,-68.57266235351562,1206,50,0.6946864724159241,0.0003,107,-10.087846755981445
12.958236694335938,1557,131.5951629,25.95,14,-76.57032775878906,1456,60,0.6446942687034607,0.0003,106,-12.158568382263184
9.60489273071289,1830,133.0550179428571,26.142857142857142,17,-89.76021575927734,1729,70,0.5944486856460571,0.0003,106,-14.29080867767334
29.012346267700195,2208,141.4448661875,27.6,20,-93.89173889160156,2107,80,0.5317884087562561,0.0003,105,-16.673961639404297
22.479307174682617,2693,154.02805215555554,29.92222222222222,25,-111.20161437988281,2592,90,0.4620822072029114,0.0003,104,-19.97109603881836
26.3297061920166,3177,162.87497992,31.77,30,-124.34215545654297,3076,100,0.40215864777565,0.0003,103,-22.76612091064453
46.785377502441406,3578,169.5791584,33.14,34,-123.02276611328125,3477,110,0.35933971405029297,0.0003,102,-23.78423309326172
23.45337677001953,4058,179.83000822999998,35.28,40,-143.68112182617188,3957,120,0.3145318031311035,0.0003,100,-26.77288818359375
32.991790771484375,4578,193.98538718,38.02,46,-146.45681762695312,4477,130,0.2725215256214142,0.0003,97,-27.088153839111328
40.293087005615234,5064,205.29547395,40.2,53,-148.06329345703125,4963,140,0.2385374754667282,0.0003,95,-28.280149459838867
130.36416625976562,5688,224.27383892,43.81,62,-154.07728576660156,5587,150,0.2009466141462326,0.0003,90,-30.07476806640625
30.83121681213379,6409,248.24554124000002,48.52,73,-153.59596252441406,6308,160,0.16569072008132935,0.0003,87,-29.533710479736328
36.44181442260742,7094,268.26179981999996,52.64,82,-159.72659301757812,6993,170,0.13801035284996033,0.0003,85,-32.375709533691406
44.20466995239258,7995,295.00939784999997,57.87,97,-161.79421997070312,7894,180,0.10875774174928665,0.0003,82,-32.749610900878906
35.729515075683594,8778,309.37194435,60.85,112,-159.15328979492188,8677,190,0.08934129029512405,0.0003,78,-25.856658935546875
45.732017517089844,9552,324.77700101999994,63.75,127,-167.91212463378906,9451,200,0.07459616661071777,0.0003,74,-25.580110549926758
61.60361099243164,10379,344.42727004,68.01,144,-167.36842346191406,10278,210,0.06130797415971756,0.0003,72,-24.57575225830078
51.83268356323242,10927,346.9519843300001,68.69,155,-160.60906982421875,10826,220,0.05418122932314873,0.0003,70,-23.341449737548828
60.872589111328125,11646,357.4680735500001,70.68,171,-147.92724609375,11545,230,0.04650944098830223,0.0003,67,-14.905293464660645
52.922340393066406,12220,363.24257074,71.56,184,-165.070556640625,12119,240,0.04204178974032402,0.0003,66,-16.40341567993164
46.462493896484375,12793,362.0005808300001,71.05,198,-159.16769409179688,12692,250,0.038170330226421356,0.0003,64,-4.841409206390381
45.75755310058594,13415,358.74629224999995,70.06,214,-169.01043701171875,13314,260,0.03506860136985779,0.0003,62,-10.743302345275879
54.0709228515625,14009,355.55283183,69.15,233,-151.09689331054688,13908,270,0.032688599079847336,0.0003,59,-2.412543296813965
62.25578689575195,14634,340.45535086999996,66.39,254,-159.44088745117188,14533,280,0.030776165425777435,0.0003,57,2.4252891540527344
58.90495681762695,15307,336.81966050000005,65.29,276,-151.48980712890625,15206,290,0.029382111504673958,0.0003,55,-1.202028512954712
57.906707763671875,16082,337.46918146,65.3,302,-153.83688354492188,15981,300,0.02810848318040371,0.0003,53,2.502293109893799
51.55949783325195,16904,341.33996435,65.25,329,-159.46803283691406,16803,310,0.027447525411844254,0.0003,51,-7.796999931335449
57.10801696777344,17623,352.3338665400001,66.96,352,-145.51181030273438,17522,320,0.026404714211821556,0.0003,50,-1.0932667255401611
43.783447265625,18317,349.87334108000005,66.71,374,-155.07275390625,18216,330,0.02728213742375374,0.0003,48,3.0296716690063477
37.06157302856445,18978,354.5339430999999,67.58,396,-142.09173583984375,18877,340,0.027536964043974876,0.0003,47,4.893009185791016
46.71647644042969,19665,360.03566056999995,68.72,418,-148.77447509765625,19564,350,0.02699257805943489,0.0003,46,1.1677000522613525
36.13115310668945,20391,365.16272216,69.76,442,-145.00283813476562,20290,360,0.026362448930740356,0.0003,46,2.9043149948120117
41.25260925292969,21039,368.05577185000004,70.3,463,-140.85899353027344,20938,370,0.024953873828053474,0.0003,45,2.6870546340942383
36.85961151123047,21654,370.12406984999996,70.2,483,-141.53575134277344,21553,380,0.02465883642435074,0.0003,44,4.709786415100098
47.219268798828125,22347,371.25135592,70.4,505,-140.6348419189453,22246,390,0.02481991797685623,0.0003,44,-0.7022542953491211
32.89640808105469,23049,369.06956218999994,69.67,528,-140.2852783203125,22948,400,0.023901833221316338,0.0003,43,2.028343677520752
35.8460693359375,23866,369.32201683,69.62,554,-140.0622100830078,23765,410,0.023453213274478912,0.0003,43,-1.616302728652954
38.236846923828125,24609,371.7279775800001,69.86,578,-142.20538330078125,24508,420,0.02348613366484642,0.0003,42,2.76931095123291
