train/policy_gradient_loss,train/std,train/learning_rate,time/time_elapsed,time/total_timesteps,train/approx_kl,train/clip_fraction,time/iterations,train/n_updates,train/explained_variance,time/fps,train/value_loss,train/entropy_loss,rollout/ep_len_mean,train/loss,rollout/ep_rew_mean,train/clip_range
-0.07899080860370304,0.9857503175735474,0.0003,163,20480,0.026104623,0.2705078125,10,90,0.07243967,125,1127.5105192184449,-23.898622876405717,28.25,498.5021057128906,139.66751762,0.2
-0.06699337960162666,0.9747491478919983,0.0003,407,40960,0.020571169,0.203759765625,20,190,0.298195,100,1556.9647270202636,-23.6947933614254,41.64,751.0647583007812,206.65681514,0.2
-0.06491367389971855,0.9641494750976562,0.0003,636,61440,0.02322347,0.20888671875,30,290,0.48089147,96,1299.765541267395,-23.508680653572082,51.69,566.5535278320312,261.09031716999993,0.2
-0.0548883732612012,0.9546798467636108,0.0003,888,81920,0.023545034,0.176123046875,40,390,0.58699334,92,1216.3357387542724,-23.33131252527237,60.7,558.2900390625,306.33837937000004,0.2
-0.04985816352127585,0.9490901827812195,0.0003,1111,102400,0.019077625,0.162109375,50,490,0.70147675,92,863.483572101593,-23.228783124685286,62.34,314.0735168457031,314.05512948,0.2
-0.047084887031815015,0.9444077610969543,0.0003,1346,122880,0.019303817,0.15185546875,60,590,0.7662373,91,658.1281556129455,-23.122662436962127,66.85,266.8099365234375,341.0910696700001,0.2
-0.04922573449439369,0.9382354617118835,0.0003,1580,143360,0.017721545,0.155126953125,70,690,0.83569264,90,466.33160347938536,-23.01646443605423,64.52,189.47885131835938,333.88069358000007,0.2
-0.04395550408808049,0.9349016547203064,0.0003,1796,163840,0.0155307455,0.13955078125,80,790,0.7969905,91,570.8765025138855,-22.937825310230256,68.75,204.02420043945312,347.47453151999997,0.2
-0.04738414738385473,0.9276406168937683,0.0003,2030,184320,0.023001745,0.16025390625,90,890,0.850535,90,416.2258845329285,-22.811643236875533,67.21,246.02476501464844,342.25397893,0.2
-0.048745444478117864,0.9231073260307312,0.0003,2273,204800,0.021195125,0.176806640625,100,990,0.8833079,90,338.6121116638184,-22.728993582725526,67.12,117.82015228271484,342.83363161,0.2
-0.047944609069963916,0.9228543639183044,0.0003,2514,225280,0.022835532,0.19013671875,110,1090,0.86379737,89,377.31200795173646,-22.716505342721938,69.89,114.52304077148438,356.13913161,0.2
-0.04508584755240008,0.9209994077682495,0.0003,2739,245760,0.020826474,0.158935546875,120,1190,0.875193,89,425.3588861942291,-22.67536547780037,73.94,156.31150817871094,377.62656388000005,0.2
-0.04853270417079329,0.9140225648880005,0.0003,2985,266240,0.02668363,0.185693359375,130,1290,0.8921944,89,380.1555217266083,-22.53984181880951,74.49,152.77613830566406,378.63645651,0.2
-0.04956585219479166,0.9086205363273621,0.0003,3225,286720,0.02541988,0.184619140625,140,1390,0.8694501,88,404.68365654945376,-22.443593668937684,69.44,163.32095336914062,356.65601088999995,0.2
-0.048001355316955596,0.9015451073646545,0.0003,3468,307200,0.02304821,0.18251953125,150,1490,0.8838468,88,370.23064813613894,-22.306032913923264,72.59,98.45543670654297,370.26920680999996,0.2
-0.04985868440417107,0.8954363465309143,0.0003,3732,327680,0.029243043,0.208154296875,160,1590,0.86123884,87,383.34435119628904,-22.18236812353134,75.24,95.2778549194336,378.72810356,0.2
-0.053085185261443256,0.8916235566139221,0.0003,3991,348160,0.0317232,0.2443359375,170,1690,0.90985703,87,287.02208960056305,-22.091859251260757,76.47,74.44801330566406,386.23621659,0.2
-0.05569040605332702,0.8861454725265503,0.0003,4246,368640,0.03624981,0.249658203125,180,1790,0.8972139,86,295.06566336154935,-21.987870585918426,74.46,118.16197967529297,378.8820440200001,0.2
-0.05445546639093664,0.8789976835250854,0.0003,4486,389120,0.032420114,0.237646484375,190,1890,0.9129343,86,292.6289192199707,-21.848613196611403,74.29,60.162479400634766,373.57021283999995,0.2
-0.059492185205454004,0.8741459846496582,0.0003,22441,409600,0.04243215,0.286328125,200,1990,0.9162819,18,244.48453063964843,-21.740762293338776,77.04,104.53192138671875,387.01934466,0.2
-0.04846417023509275,0.8672781586647034,0.0003,22567,430080,0.03855016,0.242578125,210,2090,0.87638456,19,342.9640528678894,-21.60387929081917,79.48,154.5762481689453,397.7362778000001,0.2
-0.056424521829467264,0.8660785555839539,0.0003,22698,450560,0.04260453,0.255419921875,220,2190,0.91456926,19,271.22031862735747,-21.56691306233406,78.61,110.65303802490234,398.38153474,0.2
-0.05546232893830165,0.8587329983711243,0.0003,22835,471040,0.03970319,0.2564453125,230,2290,0.9157079,20,299.71510300636294,-21.42515159249306,80.16,86.98291015625,405.9471797099999,0.2
-0.06023609764815774,0.8542668223381042,0.0003,22966,491520,0.045654424,0.298974609375,240,2390,0.92625755,21,239.61839468479155,-21.318312650918962,76.76,62.363037109375,389.5080050600001,0.2
-0.057734443432127594,0.8503708839416504,0.0003,23096,512000,0.05508326,0.331591796875,250,2490,0.92600834,22,207.75174536705018,-21.22575911283493,76.93,82.74021911621094,395.00957861999996,0.2
-0.060527572222054,0.8471482992172241,0.0003,23224,532480,0.04260692,0.27724609375,260,2590,0.910454,22,318.23927035331724,-21.17108620405197,81.85,86.0291519165039,416.35449718999996,0.2
-0.056956450614961796,0.8349009156227112,0.0003,23350,552960,0.04770913,0.2892578125,270,2690,0.9193129,23,267.7033855199814,-20.93389210700989,79.51,94.97250366210938,403.55682352,0.2
-0.059548675880068916,0.8259276151657104,0.0003,23480,573440,0.04650756,0.307958984375,280,2790,0.91223353,24,297.50577065944674,-20.76128153204918,79.79,118.73477935791016,406.3925535,0.2
-0.05880997542990372,0.8188675045967102,0.0003,23612,593920,0.054073665,0.29853515625,290,2890,0.9226275,25,268.8856162786484,-20.605610382556915,82.13,89.62660217285156,418.2297421100001,0.2
-0.05764114995545242,0.8143483400344849,0.0003,23740,614400,0.051298022,0.301806640625,300,2990,0.9275956,25,261.8013701438904,-20.497474789619446,79.92,102.30888366699219,407.88410855,0.2
-0.05896031463926192,0.8061161041259766,0.0003,23863,634880,0.05239749,0.312158203125,310,3090,0.9223144,26,249.9590634584427,-20.3186355471611,81.06,85.5071792602539,413.67840619000003,0.2
-0.055833355290815234,0.7988009452819824,0.0003,23990,655360,0.05901498,0.30439453125,320,3190,0.9093845,27,347.7824028253555,-20.161820030212404,84.73,142.5703125,425.7131081700001,0.2
-0.057475712051382286,0.7965878844261169,0.0003,24118,675840,0.05768116,0.332666015625,330,3290,0.93351156,28,258.08255593776704,-20.111216604709625,82.95,84.01309204101562,418.64198196000007,0.2
-0.05603447153407615,0.7904727458953857,0.0003,24251,696320,0.05317534,0.30771484375,340,3390,0.91484725,28,308.36673655509946,-19.98115662932396,83.39,98.90287780761719,428.99370436000004,0.2
-0.05866915708174929,0.7824841141700745,0.0003,24377,716800,0.062420044,0.34375,350,3490,0.9382334,29,231.55247712135315,-19.794177263975143,82.71,102.85614013671875,422.56426229,0.2
-0.062236324965488164,0.7748534083366394,0.0003,24505,737280,0.07888805,0.4154296875,360,3590,0.9477942,30,170.72107486724855,-19.625934422016144,77.25,46.11642074584961,390.99665369999997,0.2
-0.05955719698977191,0.767651379108429,0.0003,24635,757760,0.06860088,0.362451171875,370,3690,0.9211687,30,235.2950880765915,-19.44742037653923,80.13,101.54102325439453,408.7066485700001,0.2
-0.05576915502315387,0.7621996402740479,0.0003,24764,778240,0.06993736,0.357373046875,380,3790,0.9302361,31,259.9693361282349,-19.315043938159942,84.47,95.65198516845703,431.31482699000003,0.2
-0.06075927540077828,0.756594181060791,0.0003,24892,798720,0.07405937,0.35244140625,390,3890,0.93330294,32,253.2283412218094,-19.17818903326988,82.4,114.24503326416016,423.27672307,0.2
-0.056445908287423664,0.7500963807106018,0.0003,25020,819200,0.06396,0.33349609375,400,3990,0.92207867,32,285.6353456735611,-19.03460236787796,87.52,62.823768615722656,451.1785656300001,0.2
-0.05614948028814979,0.7481716871261597,0.0003,25153,839680,0.07117973,0.3419921875,410,4090,0.93913287,33,249.87111456394194,-18.976417058706282,82.78,88.12046813964844,428.00448798,0.2
-0.05983766989374999,0.7434987425804138,0.0003,25282,860160,0.069793046,0.36748046875,420,4190,0.93159723,34,273.89086117744444,-18.869508361816408,86.83,76.32081604003906,445.15251932,0.2
-0.05615771012380719,0.7364828586578369,0.0003,25409,880640,0.076493874,0.385009765625,430,4290,0.939224,34,234.23486816883087,-18.704784548282625,86.63,74.43889617919922,442.0924646599999,0.2
-0.061468720762059094,0.7330403923988342,0.0003,25536,901120,0.08385231,0.3939453125,440,4390,0.92899257,35,280.52368557453156,-18.593404573202132,86.13,112.79129791259766,442.4683337000001,0.2
-0.06259705559059511,0.7274995446205139,0.0003,25666,921600,0.08967218,0.4115234375,450,4490,0.9339121,35,212.82184562683105,-18.481868129968642,85.46,75.93451690673828,445.34744424999997,0.2
-0.05910842945741024,0.7224729061126709,0.0003,25795,942080,0.10054674,0.404150390625,460,4590,0.94371176,36,247.19945681095123,-18.34765115380287,84.07,84.16429138183594,435.93461792,0.2
-0.05825159484520555,0.7172764539718628,0.0003,25925,962560,0.09073718,0.3953125,470,4690,0.9222944,37,259.3860176086426,-18.231242895126343,86.25,75.17963409423828,442.4238264999999,0.2
-0.06164314212510362,0.71421217918396,0.0003,30601,983040,0.08614717,0.415673828125,480,4790,0.9268954,32,284.0728470802307,-18.139703154563904,85.37,124.91572570800781,434.50244232000006,0.2
-0.050626269841450265,0.7123576998710632,0.0003,30681,1003520,0.1040183,0.381884765625,490,4890,0.89945227,32,359.99888637065885,-18.084558975696563,89.44,112.99533081054688,461.45657603,0.2
-0.05601778876152821,0.7105411887168884,0.0003,30758,1024000,0.10060084,0.412255859375,500,4990,0.9382663,33,254.8799829006195,-18.02442846894264,90.18,105.53945922851562,465.42112059,0.2
-0.05769065015192609,0.7040997743606567,0.0003,30836,1044480,0.098762214,0.37060546875,510,5090,0.9275591,33,291.56025826931,-17.870654672384262,86.1,79.86644744873047,447.40825001999997,0.2
-0.05851160049205646,0.6972637176513672,0.0003,30914,1064960,0.10004181,0.411865234375,520,5190,0.9467414,34,216.73504455089568,-17.714178216457366,89.16,59.18682098388672,459.32939694,0.2
-0.05879260627552867,0.6927262544631958,0.0003,30992,1085440,0.084850885,0.374853515625,530,5290,0.9220923,35,348.9376965999603,-17.58473379611969,89.46,106.25335693359375,465.6612501099999,0.2
-0.053563297510845584,0.6867833733558655,0.0003,31067,1105920,0.12656964,0.44658203125,540,5390,0.92840695,35,249.7266257286072,-17.410354804992675,90.4,69.5508041381836,466.61502855000003,0.2
-0.05792632993543521,0.6793744564056396,0.0003,31142,1126400,0.1223547,0.428369140625,550,5490,0.93123806,36,283.36475882530215,-17.219978195428848,85.52,69.76671600341797,446.15666933999995,0.2
-0.05129580509383232,0.6734570860862732,0.0003,31218,1146880,0.1128172,0.423046875,560,5590,0.93718934,36,257.2455795288086,-17.04934157729149,88.68,66.24116516113281,466.9534413999999,0.2
-0.05748419004958123,0.6670975685119629,0.0003,31294,1167360,0.11209963,0.409765625,570,5690,0.89642453,37,362.44145064353944,-16.866879957914353,89.7,150.28811645507812,467.87525114000005,0.2
-0.05513160848349798,0.6626608371734619,0.0003,31370,1187840,0.14504564,0.4701171875,580,5790,0.9326133,37,266.44380197525027,-16.750307667255402,89.71,101.6662826538086,467.68639944999995,0.2
