train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,train/critic_loss,time/fps,time/total_timesteps,train/n_updates,train/actor_loss,rollout/ep_len_mean,time/episodes
0.001,82.80212027000002,109,0.4474383592605591,110,12073,11972,-40.30662155151367,17.85,690
0.001,82.8558271,110,2.2406320571899414,110,12254,12153,-39.56441116333008,17.86,700
0.001,82.67684265,112,0.9113051891326904,110,12430,12329,-41.408782958984375,17.81,710
0.001,82.30057486,114,1.353218674659729,110,12604,12503,-40.775794982910156,17.68,720
0.001,82.33891818000001,116,1.7021321058273315,109,12780,12679,-39.10316848754883,17.69,730
0.001,82.09461197,118,0.5933915972709656,109,12954,12853,-40.29465866088867,17.6,740
0.001,82.16481461,120,1.2906718254089355,108,13137,13036,-40.10916519165039,17.62,750
0.001,82.46018553,122,1.1894108057022095,108,13317,13216,-42.0403938293457,17.72,760
0.001,82.4298842,124,0.7785263061523438,108,13493,13392,-38.8719367980957,17.71,770
0.001,82.85535802999999,126,0.7659264802932739,107,13679,13578,-38.72813034057617,17.86,780
0.001,83.12677190000002,129,1.4019882678985596,107,13869,13768,-42.88805389404297,17.96,790
0.001,83.16340478000001,131,0.684043288230896,107,14052,13951,-39.941532135009766,17.98,800
0.001,83.26706168999999,133,1.0377768278121948,106,14231,14130,-39.002750396728516,18.01,810
0.001,83.50054697,135,1.2188953161239624,106,14414,14313,-39.944053649902344,18.1,820
0.001,83.71610790000001,138,1.6787606477737427,105,14598,14497,-40.58559036254883,18.18,830
0.001,83.78441981,140,1.1508245468139648,105,14775,14674,-38.96718215942383,18.21,840
0.001,83.59896143,142,0.9597516655921936,104,14952,14851,-41.860374450683594,18.15,850
0.001,83.40854719,145,1.4229402542114258,103,15126,15025,-39.63484191894531,18.09,860
0.001,83.40336258,148,1.4644129276275635,103,15301,15200,-40.468101501464844,18.08,870
0.001,83.06192510999999,150,3.586308002471924,102,15475,15374,-42.54646682739258,17.96,880
0.001,82.9881035,153,1.4807419776916504,102,15662,15561,-40.521751403808594,17.93,890
0.001,82.97137253,155,1.287630319595337,101,15845,15744,-38.912200927734375,17.93,900
0.001,82.89303207,158,1.1152466535568237,101,16022,15921,-39.07614517211914,17.91,910
0.001,82.72562744000001,160,1.536261796951294,100,16199,16098,-40.19944763183594,17.85,920
0.001,82.54847998999999,163,0.974428653717041,100,16376,16275,-41.08140182495117,17.78,930
0.001,82.41474316,165,0.9759563207626343,99,16548,16447,-38.30131530761719,17.73,940
0.001,82.68590205000001,168,0.66700279712677,99,16734,16633,-39.152069091796875,17.82,950
0.001,83.03585061,170,0.45623767375946045,98,16920,16819,-40.570884704589844,17.94,960
0.001,83.27394173000002,173,1.2624095678329468,98,17104,17003,-39.91878128051758,18.03,970
0.001,83.30483848999998,175,1.558484435081482,98,17279,17178,-41.68764114379883,18.04,980
0.001,82.88128807999999,178,1.2170641422271729,97,17452,17351,-41.096309661865234,17.9,990
0.001,82.74371915,180,0.6237850189208984,97,17629,17528,-40.410614013671875,17.84,1000
0.001,82.77155073,183,0.6263687610626221,97,17806,17705,-39.5827751159668,17.84,1010
0.001,83.05729329,186,1.0917354822158813,96,17992,17891,-38.62699890136719,17.93,1020
0.001,83.20691758000001,189,0.9455519318580627,96,18175,18074,-38.67551803588867,17.99,1030
0.001,83.32887981999998,191,1.147916316986084,95,18352,18251,-41.90630340576172,18.04,1040
0.001,83.15863252999999,194,1.0645825862884521,95,18532,18431,-39.192230224609375,17.98,1050
0.001,82.83829745000001,196,1.0437477827072144,94,18707,18606,-39.35710144042969,17.87,1060
0.001,82.50519333,199,1.0196185111999512,94,18879,18778,-40.2686653137207,17.75,1070
0.001,82.69640135,202,1.3120166063308716,94,19060,18959,-39.356544494628906,17.81,1080
0.001,82.7736484,204,0.7477767467498779,93,19236,19135,-41.68622970581055,17.84,1090
0.001,82.72508963,207,1.2765169143676758,93,19412,19311,-37.553070068359375,17.83,1100
0.001,83.02162802,209,0.827154278755188,93,19599,19498,-41.467185974121094,17.93,1110
0.001,82.82629657000001,212,1.2380671501159668,93,19779,19678,-42.101097106933594,17.87,1120
0.001,82.58840611,215,0.5753856897354126,92,19954,19853,-40.268760681152344,17.79,1130
0.001,82.67241712,217,1.0034215450286865,92,20133,20032,-39.4898567199707,17.81,1140
0.001,82.74472932999998,220,0.9777774810791016,92,20316,20215,-39.31684875488281,17.84,1150
0.001,82.76965924,223,0.9744662046432495,91,20492,20391,-39.39767074584961,17.85,1160
0.001,83.21256465999998,225,1.3481296300888062,91,20679,20578,-39.86750030517578,18.0,1170
0.001,82.99227144000001,228,0.8428725004196167,91,20853,20752,-41.03976821899414,17.93,1180
0.001,83.0286026,230,0.8737038373947144,91,21030,20929,-38.14507293701172,17.94,1190
0.001,82.94608372,233,1.5960475206375122,90,21203,21102,-39.84043502807617,17.91,1200
0.001,82.69447052,236,1.3647799491882324,90,21382,21281,-38.656524658203125,17.83,1210
0.001,82.79573196000001,238,0.7652392387390137,90,21565,21464,-39.53116226196289,17.86,1220
0.001,83.18935193000002,241,1.058011770248413,90,21753,21652,-39.82389831542969,17.99,1230
0.001,83.15458189,243,1.0752193927764893,89,21931,21830,-38.30249786376953,17.98,1240
0.001,83.17270849,246,0.6343843936920166,89,22114,22013,-39.743141174316406,17.98,1250
0.001,83.23149344000001,249,0.37371790409088135,89,22292,22191,-38.927520751953125,18.0,1260
0.001,82.99091831,251,0.6511052846908569,89,22471,22370,-40.859962463378906,17.92,1270
0.001,83.4180623,254,0.5174438953399658,89,22660,22559,-42.36466979980469,18.07,1280
0.001,83.26606367000001,256,0.6921977996826172,88,22832,22731,-39.66476821899414,18.02,1290
