Wall time,Step,Value
1717926702.2278469,20480,-0.0809079185128212
1717926750.6941469,40960,-0.05543215945363045
1717926812.8529727,61440,-0.05359702557325363
1717926884.3200874,81920,-0.04141116887331009
1717926955.5953367,102400,-0.04035337269306183
1717927027.2553828,122880,-0.034581296145915985
1717927099.9424193,143360,-0.030710797756910324
1717927171.155817,163840,-0.029852457344532013
1717927242.710203,184320,-0.028517108410596848
1717927313.9494205,204800,-0.030821898952126503
1717927387.233035,225280,-0.02755371667444706
1717927459.7003963,245760,-0.0308978334069252
1717927532.9291558,266240,-0.027352329343557358
1717927605.8295505,286720,-0.030681461095809937
1717927678.249963,307200,-0.029286980628967285
1717927752.8276584,327680,-0.027124697342514992
1717927828.6101038,348160,-0.026156870648264885
1717927901.9446971,368640,-0.03142871335148811
1717927976.341567,389120,-0.02556055784225464
1717928049.6731677,409600,-0.025877777487039566
1717928123.0794876,430080,-0.030079830437898636
1717928196.5214093,450560,-0.03259614109992981
1717928278.1005626,471040,-0.03050207532942295
1717928351.9443693,491520,-0.035474058240652084
1717928424.8804233,512000,-0.03129049018025398
1717928497.3945987,532480,-0.030404146760702133
1717928569.8822582,552960,-0.029647747054696083
1717928642.3051887,573440,-0.0356256440281868
1717928715.4740515,593920,-0.03427290916442871
1717928788.2208338,614400,-0.03354717791080475
1717928860.552982,634880,-0.030146965757012367
1717928933.0231528,655360,-0.029615450650453568
1717929005.7634017,675840,-0.031120337545871735
1717929078.6800663,696320,-0.03348519280552864
1717929152.0560064,716800,-0.02990962564945221
1717929223.380226,737280,-0.03470829501748085
1717929294.6990914,757760,-0.03304055705666542
1717929365.8761954,778240,-0.03520306572318077
1717929437.979669,798720,-0.038938671350479126
1717929511.2438583,819200,-0.03219021484255791
1717929585.0453408,839680,-0.03463594615459442
1717929656.8636887,860160,-0.03531578928232193
1717929728.6474283,880640,-0.02915322594344616
1717929800.1440504,901120,-0.035959918051958084
1717929872.3422441,921600,-0.035798314958810806
1717929944.748757,942080,-0.03225189447402954
1717930017.9016423,962560,-0.037133101373910904
1717930091.1125274,983040,-0.034911446273326874
1717930164.2177165,1003520,-0.03283340856432915
1717930237.3568163,1024000,-0.03315333276987076
1717930309.5357206,1044480,-0.031839318573474884
1717930381.683774,1064960,-0.02996501326560974
1717930455.2226934,1085440,-0.02927996963262558
1717930527.5196412,1105920,-0.032377198338508606
1717930598.9691527,1126400,-0.032275326550006866
1717930670.8177092,1146880,-0.034369584172964096
1717930742.3129277,1167360,-0.03674884885549545
1717930815.004731,1187840,-0.029494186863303185
1717930887.14228,1208320,-0.034273214638233185
1717930959.243386,1228800,-0.03338262066245079
1717931030.6257014,1249280,-0.036440104246139526
1717931103.1173916,1269760,-0.034041039645671844
1717931175.004906,1290240,-0.03473301976919174
1717931245.9726055,1310720,-0.0326073095202446
1717931316.6440017,1331200,-0.03281969577074051
1717931389.0430229,1351680,-0.034476686269044876
1717931460.2385511,1372160,-0.03530450537800789
1717931531.1844537,1392640,-0.031499434262514114
1717931602.9614325,1413120,-0.03230755776166916
1717931675.9637673,1433600,-0.028685225173830986
1717931748.1782312,1454080,-0.033752523362636566
1717931819.5839427,1474560,-0.028867531567811966
1717931891.6255748,1495040,-0.031062159687280655
1717931963.527262,1515520,-0.030525697395205498
1717932035.5378046,1536000,-0.034146543592214584
1717932106.8583379,1556480,-0.02588815800845623
1717932178.1922147,1576960,-0.030502192676067352
1717932249.094295,1597440,-0.032317034900188446
1717932320.4953356,1617920,-0.03436421975493431
1717932391.1409526,1638400,-0.03151756525039673
1717932461.992793,1658880,-0.03133726492524147
1717932533.174402,1679360,-0.03585701435804367
1717932603.583807,1699840,-0.03214658796787262
1717932674.6168888,1720320,-0.03600694239139557
1717932745.385979,1740800,-0.029938355088233948
1717932815.5772815,1761280,-0.035220470279455185
1717932886.021351,1781760,-0.025943195447325706
1717932955.9779265,1802240,-0.035554189234972
1717933026.447433,1822720,-0.03110867738723755
1717933097.5951989,1843200,-0.031111178919672966
1717933172.6126087,1863680,-0.036347467452287674
1717933245.0681512,1884160,-0.03573523834347725
1717933316.327715,1904640,-0.029389671981334686
1717933387.913973,1925120,-0.030918950214982033
1717933459.3003705,1945600,-0.03579696640372276
1717933530.4635665,1966080,-0.041131917387247086
1717933601.0469117,1986560,-0.02844410203397274
1717933671.5151362,2007040,-0.03477969020605087
1717933742.0843177,2027520,-0.038878343999385834
1717933814.0457866,2048000,-0.025620587170124054
1717933886.03039,2068480,-0.028502080589532852
1717933957.4485435,2088960,-0.02240104041993618
1717934029.6465929,2109440,-0.033786334097385406
1717934101.6422946,2129920,-0.033601269125938416
1717934173.4036365,2150400,-0.02780030108988285
1717934244.935701,2170880,-0.032454248517751694
1717934315.4341035,2191360,-0.025797314941883087
1717934386.0780833,2211840,-0.02476571686565876
1717934456.9548328,2232320,-0.03603009879589081
1717934527.8403084,2252800,-0.03378470242023468
1717934598.8099067,2273280,-0.03526696935296059
1717934670.9102802,2293760,-0.029124461114406586
1717934743.2845638,2314240,-0.03396039828658104
1717934815.4855943,2334720,-0.029023027047514915
1717934887.6248388,2355200,-0.03635304793715477
1717934960.2802532,2375680,-0.034947969019412994
1717935031.5308504,2396160,-0.037458982318639755
1717935102.4713662,2416640,-0.03351815044879913
1717935173.903819,2437120,-0.026486855000257492
1717935244.2387183,2457600,-0.0380002036690712
1717935314.8777277,2478080,-0.03443586081266403
1717935385.7594762,2498560,-0.026348043233156204
1717935457.3871715,2519040,-0.03342364355921745
1717935529.9646344,2539520,-0.032852932810783386
1717935601.4556808,2560000,-0.03681701794266701
1717935672.5443194,2580480,-0.031782567501068115
1717935743.523534,2600960,-0.03047136589884758
1717935815.1409023,2621440,-0.032658226788043976
1717935887.9199722,2641920,-0.03242522105574608
1717935960.2993407,2662400,-0.020455889403820038
1717936031.7482738,2682880,-0.034826431423425674
1717936103.5482445,2703360,-0.0317842960357666
1717936174.865435,2723840,-0.02910241298377514
1717936246.9738688,2744320,-0.028937919065356255
1717936317.936952,2764800,-0.029026959091424942
1717936389.2066379,2785280,-0.03192716836929321
1717936460.2854476,2805760,-0.02746160328388214
1717936531.4525232,2826240,-0.022833796218037605
1717936603.3590028,2846720,-0.03428744897246361
1717936675.816114,2867200,-0.03425844758749008
1717936749.3085177,2887680,-0.0274524949491024
1717936822.3040307,2908160,-0.028044480830430984
1717936894.4193273,2928640,-0.03175394609570503
1717936966.1370416,2949120,-0.02530575543642044
1717937037.5384223,2969600,-0.03484371677041054
1717937108.7723448,2990080,-0.029987193644046783
1717937180.3946369,3010560,-0.02647155150771141
1717937254.3123689,3031040,-0.025198936462402344
1717937326.0019498,3051520,-0.033017825335264206
1717937397.4696026,3072000,-0.030408838763833046
1717937468.7118907,3092480,-0.01274041086435318
1717937539.523871,3112960,-0.03667598217725754
1717937611.077126,3133440,-0.018848983570933342
1717937682.769574,3153920,-0.027029670774936676
1717937755.9771218,3174400,-0.03588683903217316
1717937829.5682552,3194880,-0.027572212740778923
1717937901.2617571,3215360,-0.03174450621008873
1717937972.907117,3235840,-0.018673263490200043
1717938044.3283494,3256320,-0.025729889050126076
1717938115.2151167,3276800,-0.02393871732056141
1717938187.3399525,3297280,-0.02512941136956215
1717938260.266648,3317760,-0.026921402662992477
1717938332.7616224,3338240,-0.029263658449053764
1717938405.1242297,3358720,-0.024143656715750694
1717938476.5568852,3379200,-0.026613472029566765
1717938547.9616606,3399680,-0.03172548860311508
1717938620.8370762,3420160,-0.032993003726005554
1717938692.4389303,3440640,-0.029700318351387978
1717938764.249404,3461120,-0.015872498974204063
1717938835.7972076,3481600,-0.025243619456887245
1717938907.7003057,3502080,-0.030735744163393974
1717938978.82014,3522560,-0.026146356016397476
1717939050.4212508,3543040,-0.02604927122592926
1717939121.8815475,3563520,-0.017587486654520035
1717939193.470677,3584000,-0.009803982451558113
1717939266.109248,3604480,-0.02838863432407379
1717939338.5927632,3624960,-0.036690980195999146
1717939410.8176754,3645440,-0.030669324100017548
1717939483.8097217,3665920,0.006512003019452095
1717939555.0640478,3686400,-0.02932310663163662
1717939628.2348533,3706880,-0.02090473100543022
1717939699.7346537,3727360,-0.02938772924244404
1717939771.0853982,3747840,-0.01749001070857048
1717939842.054399,3768320,-0.02690047398209572
1717939913.503488,3788800,-0.029014071449637413
1717939984.945039,3809280,-0.01902962476015091
1717940056.7770185,3829760,-0.021077731624245644
1717940127.7207067,3850240,-0.022341610863804817
1717940200.1208134,3870720,-0.022703709080815315
1717940272.9305787,3891200,-0.030336914584040642
1717940346.0709505,3911680,-0.01354888454079628
1717940420.1672475,3932160,-0.02219715714454651
1717940491.386255,3952640,-0.03341780602931976
1717940562.317122,3973120,-0.021981794387102127
1717940635.2904534,3993600,-0.028999628499150276
1717940708.200995,4014080,-0.019241483882069588
1717940779.848997,4034560,-0.029085496440529823
1717940852.0106125,4055040,-0.02558217942714691
1717940924.540839,4075520,-0.027644598856568336
1717940996.6456783,4096000,-0.028931166976690292
1717941068.1372309,4116480,-0.02761012502014637
1717941140.0538814,4136960,-0.032050397247076035
1717941211.94799,4157440,-0.02990301512181759
1717941284.453762,4177920,-0.030625462532043457
1717941357.1279247,4198400,-0.009411676786839962
1717941429.2233043,4218880,-0.026129012927412987
1717941501.233896,4239360,-0.02549864910542965
1717941573.007033,4259840,-0.023326389491558075
1717941646.4311512,4280320,-0.027072643861174583
1717941720.866718,4300800,-0.02804790996015072
1717941793.2525444,4321280,-0.022724105045199394
