time/time_elapsed,train/n_updates,time/fps,time/episodes,rollout/ep_len_mean,train/learning_rate,rollout/ep_rew_mean,train/critic_loss,time/total_timesteps,train/actor_loss
0,105,231,10,20.6,0.001,100.174123,1.9941433668136597,206,-7.412543773651123
3,443,167,20,27.2,0.001,137.16339969999999,1.810811161994934,544,-11.926929473876953
5,762,155,30,28.766666666666666,0.001,147.5297422,1.6438604593276978,863,-15.82917594909668
8,1089,148,40,29.75,0.001,153.751465025,1.0103323459625244,1190,-19.141891479492188
10,1415,147,50,30.32,0.001,157.42919644000003,0.8763563632965088,1516,-22.297882080078125
12,1740,145,60,30.683333333333334,0.001,159.78243469999998,1.4464131593704224,1841,-25.061189651489258
15,2085,143,70,31.228571428571428,0.001,161.24984212857143,1.8431141376495361,2186,-27.452606201171875
17,2391,142,80,31.15,0.001,158.0894169125,2.1388652324676514,2492,-29.17131805419922
19,2656,142,90,30.633333333333333,0.001,153.19254454444444,2.055703639984131,2757,-31.911300659179688
21,2921,143,100,30.22,0.001,149.2937337,1.338762640953064,3022,-33.8731689453125
22,3178,144,110,30.73,0.001,150.43132261,1.438863754272461,3279,-35.41752243041992
24,3434,146,120,29.91,0.001,144.1088918,1.03529953956604,3535,-36.756988525390625
25,3704,147,130,29.42,0.001,139.01454717000001,1.0792829990386963,3805,-36.561927795410156
27,3970,147,140,28.81,0.001,133.32741165,0.7317233085632324,4071,-39.269691467285156
29,4253,146,150,28.38,0.001,128.32361458000003,1.1520787477493286,4354,-40.95051956176758
32,4563,145,160,28.23,0.001,124.86887765,0.6118816137313843,4664,-42.70396423339844
34,4907,145,170,28.22,0.001,123.53891965000001,0.9102504849433899,5008,-44.7120361328125
37,5249,144,180,28.58,0.001,125.89159034000001,1.2468390464782715,5350,-46.959930419921875
39,5591,143,190,29.35,0.001,130.52547752,1.1850496530532837,5692,-47.924354553222656
42,5933,141,200,30.12,0.001,135.11214122,0.5969861745834351,6034,-47.81062698364258
45,6279,140,210,31.01,0.001,140.19638268,0.9396425485610962,6380,-51.27604675292969
48,6621,139,220,31.87,0.001,145.11914064,1.208573579788208,6722,-53.1048583984375
51,6965,138,230,32.61,0.001,149.51800666,0.7201383113861084,7066,-52.75191879272461
54,7309,136,240,33.39,0.001,154.08951607999998,1.255704402923584,7410,-55.82489776611328
57,7653,135,250,34.0,0.001,158.06688956,0.9793312549591064,7754,-56.78365707397461
60,8000,134,260,34.37,0.001,160.66998496000002,1.4543167352676392,8101,-58.08869934082031
63,8342,132,270,34.35,0.001,161.07683813,0.9983132481575012,8443,-61.67507553100586
67,8685,130,280,34.36,0.001,161.23210292000002,1.2018401622772217,8786,-61.62126159667969
70,9027,130,290,34.36,0.001,161.22176106,1.089228630065918,9128,-59.66839599609375
73,9369,129,300,34.36,0.001,161.30054502,1.0205416679382324,9470,-60.47666931152344
76,9709,127,310,34.3,0.001,160.98786629,1.0892724990844727,9810,-64.27733612060547
79,10051,127,320,34.3,0.001,161.10458327999999,1.2150511741638184,10152,-63.27259063720703
82,10394,126,330,34.29,0.001,161.06939653999999,1.6650774478912354,10495,-65.18692016601562
85,10736,126,340,34.27,0.001,160.99273430000002,2.0171947479248047,10837,-64.0674819946289
89,11082,125,350,34.29,0.001,161.06882029,1.4965736865997314,11183,-68.28063201904297
92,11426,124,360,34.26,0.001,160.9306587,0.7249053716659546,11527,-70.24710083007812
95,11767,124,370,34.25,0.001,160.8364914,2.079343557357788,11868,-65.60670471191406
98,12110,123,380,34.25,0.001,160.83142779,1.4731398820877075,12211,-63.788368225097656
102,12456,122,390,34.29,0.001,161.1269383,0.8301235437393188,12557,-68.40071105957031
106,12799,121,400,34.3,0.001,161.14158868,5.937464237213135,12900,-71.14695739746094
109,13143,120,410,34.34,0.001,161.38145061,1.4155058860778809,13244,-70.99717712402344
113,13488,120,420,34.37,0.001,161.51317618,1.5330421924591064,13589,-69.96023559570312
116,13832,119,430,34.38,0.001,161.54241388999998,1.4084032773971558,13933,-75.01628112792969
120,14176,118,440,34.4,0.001,161.69191332999998,1.0108528137207031,14277,-69.06829071044922
124,14519,117,450,34.37,0.001,161.5179129,1.2110271453857422,14620,-67.07686614990234
127,14861,117,460,34.35,0.001,161.36663749,1.4330368041992188,14962,-70.14738464355469
131,15202,116,470,34.35,0.001,161.33784467,1.4370397329330444,15303,-66.11103057861328
134,15546,116,480,34.36,0.001,161.40260521,0.6681646108627319,15647,-69.75756072998047
138,15892,115,490,34.36,0.001,161.3339555,0.837347686290741,15993,-68.0582275390625
142,16235,114,500,34.36,0.001,161.33849911999997,0.5794588327407837,16336,-67.92568969726562
146,16577,114,510,34.34,0.001,161.16596761,0.9804907441139221,16678,-69.88363647460938
149,16919,113,520,34.31,0.001,160.92049935,2.3803088665008545,17020,-73.24122619628906
153,17259,112,530,34.27,0.001,160.74391469999998,0.9480453729629517,17360,-69.56269073486328
158,17605,111,540,34.29,0.001,160.78470631,1.2760372161865234,17706,-72.94755554199219
162,17949,110,550,34.3,0.001,160.88441945,1.2201581001281738,18050,-72.12567138671875
