train/explained_variance,train/n_updates,train/value_loss,time/iterations,train/approx_kl,time/total_timesteps,time/time_elapsed,train/policy_gradient_loss,train/loss,train/clip_fraction,train/clip_range,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/entropy_loss,train/std
0.0034502745,90,1591.6876342773437,10,0.021382589,20480,78,-0.04968047348083928,733.5067138671875,0.2421875,0.2,0.00025,177.39280885999997,35.84,262,-24.06012452840805,0.9965840578079224
0.0042422414,190,2205.3190910339354,20,0.022669753,40960,156,-0.04457755786716007,1122.478271484375,0.243603515625,0.2,0.00025,260.30291862000007,52.02,261,-23.99986575245857,0.9940757751464844
0.12984449,290,2382.4346702575685,30,0.00987439,61440,239,-0.0229364960512612,1255.520751953125,0.07998046875,0.2,0.00025,303.05632537,60.73,256,-23.962839084863663,0.9912802577018738
0.27067935,390,1911.9419372558593,40,0.008309279,81920,320,-0.01937745396862738,879.7821655273438,0.0580078125,0.2,0.00025,303.9801362,60.76,255,-23.91898829936981,0.9886624813079834
0.4959367,490,1546.3763942718506,50,0.008964101,102400,398,-0.018231429578736424,789.2572631835938,0.07041015625,0.2,0.00025,322.28737656000004,64.05,256,-23.886132568120956,0.9871756434440613
0.5788697,590,1329.3067602157594,60,0.008245978,122880,477,-0.01634910438733641,545.7140502929688,0.072314453125,0.2,0.00025,332.33203886,65.57,257,-23.86584261059761,0.9858136773109436
0.71683776,690,994.3165834426879,70,0.008886563,143360,557,-0.014528845644963439,331.1606750488281,0.0619140625,0.2,0.00025,330.16145321000005,65.34,256,-23.849778211116792,0.9846815466880798
0.7754455,790,940.4444261550904,80,0.0063270004,163840,634,-0.012618703104089945,329.6665954589844,0.04326171875,0.2,0.00025,334.31220318,65.68,258,-23.832367295026778,0.9838798642158508
0.757275,890,913.8735088348388,90,0.006184552,184320,710,-0.011837237760482821,481.4295959472656,0.048046875,0.2,0.00025,341.14879136999997,67.49,259,-23.812956446409224,0.9823936223983765
0.75502133,990,999.020976638794,100,0.008516848,204800,786,-0.015749215925461614,445.41033935546875,0.067626953125,0.2,0.00025,326.02394842999996,65.08,260,-23.80102311372757,0.9820363521575928
